Actress Name,Picture URL
Rita,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhTnxHp_DfqIqsXRWhd9TKC0BFEG7CWWlKs_oxb-MaAoItUDccWGS5vHd5Z1WdvtFDh96j9_eOLI6AM6kuEfWR2rzmfK1UCQ5HvLGJBPQOxyk5esh6BH1RAgaHE-zueLHJHFd_1TtP-zIBCJsxWQBPDp8vgKoBX_0NLiCwgdnDfEIZGXwTxl9NmEtIH3yo/s1600/Rita.png
Ritu Pandey,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgzHt7MhorQ3-euaze8JJzT9syPAP8ciHzqlyCbQPvAbjsUm-J-WtwQfHgx0TEg0cg3x8zQDM-uSdlNyn_UV5eYPbllG4ctfX-jMrAwyenCclkLkR16d4OrNnlPiL1kShIomGYxPX6FS6LlhJo1oW2Tr3krnQIDrMxAMq7XYEAbJ9xq-NfN0jO-fxoknhE/s1600/Ritu.png
Roshni Talhatt,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgDQF8gcyKQphyphenhyphenkow9DAQreHpm44jEH7OZOu_7SMQg-i4urcpmnZbhT78U5-ifDSAkQynOTlBtTQewXMdvVUMahqe5eijCkG-NdgxX2uW-c_tSgbrbMukP03vxe0iyOHhIw5AMBb7ifu9nH-7SCcKGO17pI1n1I4MkQlR3EL3-OU7lcpbx4InKTSNhsyA8/s1600/Roshni%20Talhatt.jpg
Neha Ahensai (Rozi raz),https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhE1eD5BKbnz5GnksEo7hmJgBPrnS7KfycQ0fHur6_DBLv4Iafx8h4z90JzaWfjOTo61thwqAVWXGEzfsvoMPPkseYEsJpOOvELVihQchrCbuePRpex0RTHbSmTC3jDa9IAYBJqgDo_2bToLzm_di6qStozKRJJKF2-7jOSeaeWnTiZUlFyaNzlufHCZwg/s1600/Rozi%20Raj.png
Sabana,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhkGB6G2CoZQN5HAtxj0n8cYH9pxXhYg0uIsl7A0PFbYNE0hzerF7Cvyv_jvyLXlA7bb2BIelJbTB6DdqQkCUyL8YT5n2q940UphJC4SY2frCeuKFbD7BiqJmp-B9rl0dpV5w5n8vpsxyL6CuybGFwgR4-I4ZYVGlpDyerZzGNuQ7aUZKkT3ubTUEhI0m8/s1600/Sabana.png
Sameer (Nikk),https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjRA6ICz4xxNpIlp2smQjdEzzLfd4O5oC8iHE0bprUQLrE7aBQnFFWS9lBbj0ZJ8C9LSlIp6fCw5r4yo7WEuOhFj4WDRbs7Mfa96cy7vBdiiQzITOHju4WsbwweuFypVJ7_yix9OzWFy4H6sFCq_38Iw2yOXqk5B3hNB0rAvQoGIbQ0lYr1WX6BrBb4DeI/s1600/Sameer%20%28Nikk%29.png
Samiksha Goswami,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgjdFhNtDO_4ejf6Rk7K3RdFoTxq3rOfNu68aE7RuZcwZrrcpoDmE3iydVfMA4dqHrjZZAzI6ZWAeN1QaV5G_kBNYne0rtu2Z1ny7L771QrY1iE6bATUB_mPjirWwSw1dABndwqOYpDCiGpNcn3OqdHKMY5BaxVDvamJo4ogVWwetWQpvX3eEbclu6iCTo/s1600/Samiksha%20Goswami.png
Sana,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi2DYfdw-sFKJPm6Lv470Tx-0MZ-Ox7eo_o3f13_b5d7Bo5wBr6djtkVXYzr4SSwOcMu5qSk6ccHBOJGIpZ6VDFhkJAh2U2q6vc2PSwLNy8WKsDEMy_r50dwPOxxg67uno2QppZ67FKen2u1BLI3FbamGDuJocrp8kOfKk6Cb5ung_6FZ51xHSAoINU5Jg/s1600/San.jpeg
Sanavi,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhFUMdE3DlMZSO8t2BFuqa2NkqPJSoYENsenSOWXZOWotJASkxCuX87-b_ZCs87VZ4Xn_6buTqWAk4jj6SaMqJSXlfOqdNCAnbP-nDsxEEmvJe4f5vO1WO44Is2rQVVnky4eTQpW12pK9dQZ13wrcqsHNUqgMTe0UJra_rV3XfTzmgdEjR4lD0SMU9uWtU/s1600/Sanavi.png
Sanjay Mourya,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEit993vz1oAh3JYVUmr2ko0ZZGAmBoJPDCH-7vnt94QNK7w6sijfvcz1qcMa1HILySxLN8WwLFghNy7z19mxEOssL21UvBc1ru-c7XWZynUI9ZIq_qYym1L-t4RhnYShqu6dj_nZtIqwGoJbVvqC45gRnjqsSMfrc0XxGLWIS2YnArnBtVocXWfX4hw-Ww/s1600/Sanjay%20Mourya.png
Sapna Atwal (aka Sarabjit Kaur),https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiP15yYTFTfU4B8EO4oJV5ByHvbb3IrikuH0Qk1M2-rVYf_hqN3NwbZZiJLW1JM6qr0S3Bj6LZcl9jQ1V8sM-mVQJoJ8BJFnVZZKho2yGPg8v38mWnI-Lo0X1XgCLDqc8FS-_2X160uKeTcK_4yfwoGrCTxLveZwGNEEh0oniPYlhLUryrBr4yl9nvaH6g/s1600/Sapna%20Atwal.jpg
